AABC,ABAC
ABIR,BARI
ABNR,BARN
ABRS,BARS
AABS,BASA
ABES,BASE
ABST,BAST
ABET,BATE
ABIT,BATI
ABOT,BATO
ABDU,BAUD
AABV,BAVA
ABEV,BAVE
ABIV,BAVI
ABOV,BAVO
BBEE,BEBE
ABCE,BECA
BCEO,BECO
BCES,BECS
ABEF,BEFA
BEEF,BEFE
BEFI,BEFI
BEFO,BEFO
ABEG,BEGA
BEIS,BEIS
BEIX,BEIX
ABEL,BELA
BEEL,BELE
BEIL,BELI
BELL,BELL
BELO,BELO
BELS,BELS
ABEN,BENA
BENS,BENS
BEES,BESE
BEOS,BESO
BEST,BETS
BESU,BEUS
BDIO,BIDO
BFII,BIFI
ABGI,BIGA
BILL,BILL
ABIM,BIMA
ABIN,BINA
BEIN,BINE
BIIN,BINI
BINO,BINO
BBIR,BIRB
BIIS,BISI
BIOS,BISO
BEIT,BITE
BIIT,BITI
BIOT,BITO
BIST,BITS
ABLN,BLAN
ABLT,BLAT
ABLU,BLAU
BCEL,BLEC
BEGL,BLEG
BELT,BLET
BCLO,BLOC
BGLO,BLOG
BFLU,BLUF
BBOO,BOBO
BCIO,BOCI
BCOO,BOCO
BCOS,BOCS
BEOR,BOER
BEOT,BOET
ABGO,BOGA
BGOO,BOGO
BEIO,BOIE
BGIO,BOIG
BIOO,BOIO
BIOR,BOIR
BIOX,BOIX
ABJO,BOJA
BLLO,BOLL
BLOO,BOLO
BLOS,BOLS
BBMO,BOMB
BNOO,BONO
BNOS,BONS
BNOY,BONY
BMOO,BOOM
BDOR,BORD
BLOR,BORL
BMOR,BORM
BNOR,BORN
BOOR,BORO
BORS,BORS
BOOS,BOSO
BOOT,BOTO
BOST,BOTS
BOSU,BOUS
BIOV,BOVI
ABOX,BOXA
BEOX,BOXE
BOOX,BOXO
BOSX,BOXS
ABCR,BRAC
ABMR,BRAM
ABRU,BRAU
ABER,BREA
BCER,BREC
BEGR,BREG
BENR,BREN
BERS,BRES
BERU,BREU
BCIR,BRIC
BEIR,BRIE
BIRS,BRIS
BIRV,BRIV
BCOR,BROC
BORT,BROT
BORU,BROU
BCRU,BRUC
BFRU,BRUF
BMRU,BRUM
BRTU,BRUT
ABBU,BUBA
BBIU,BUBI
BBOU,BUBO
BCSU,BUCS
ABFU,BUFA
BEFU,BUFE
BFIU,BUFI
BFOU,BUFO
BFSU,BUFS
BDIU,BUID
BITU,BUIT
BBLU,BULB
BLLU,BULL
BMSU,BUMS
ABNU,BUNA
BGRU,BURG
BIRU,BURI
BJRU,BURJ
BLRU,BURL
BRUX,BURX
BSTU,BUST
ABTU,BUTA
BETU,BUTE
ACCE,CACE
ACCO,CACO
AACD,CADA
ACEU,CAEU
ACEF,CAFE
ACFS,CAFS
AACG,CAGA
ACGO,CAGO
ACIR,CAIR
ACCL,CALC
ACDL,CALD
ACFL,CALF
ACLL,CALL
ACLM,CALM
ACMP,CAMP
ACNS,CANS
ACNT,CANT
ACOS,CAOS
AACP,CAPA
ACCP,CAPC
ACEP,CAPE
ACIP,CAPI
ACPS,CAPS
ACPT,CAPT
ACCR,CARC
ACDR,CARD
ACNR,CARN
ACPR,CARP
ACRR,CARR
AACS,CASA
ACCS,CASC
ACES,CASE
ACST,CAST
ACTX,CATX
ACTU,CAUT
AACV,CAVA
ACEV,CAVE
ACIV,CAVI
CCES,CECS
CDEI,CEDI
ACEG,CEGA
CEGO,CEGO
CEEL,CELE
CEIL,CELI
CELL,CELL
CELO,CELO
CELS,CELS
CENS,CENS
CENT,CENT
CEPS,CEPS
CCER,CERC
CEIR,CERI
CENR,CERN
CEOR,CERO
CERS,CERS
CERT,CERT
CEIS,CESI
CEST,CEST
ACIU,CIAU
CEIM,CIEM
CEIN,CIEN
CEIU,CIEU
CIIN,CIIN
CIIS,CIIS
CIIL,CILI
CIIM,CIMI
CIMO,CIMO
CIMS,CIMS
CCIN,CINC
CINT,CINT
CCIR,CIRC
CIIR,CIRI
CIOS,CISO
CIST,CIST
CEIT,CITE
CIIT,CITI
CIOT,CITO
ACLN,CLAN
ACLP,CLAP
ACLR,CLAR
ACLV,CLAV
CCEL,CLEC
CCIL,CLIC
CILN,CLIN
CILP,CLIP
CILS,CLIS
CCLO,CLOC
CLNO,CLON
CLOP,CLOP
CLOR,CLOR
CLOS,CLOS
CLOT,CLOT
CLOU,CLOU
BCLU,CLUB
CCLU,CLUC
CCOO,COCO
CCOS,COCS
ACDO,CODA
CDIO,CODI
CDOO,CODO
CEMO,COEM
CEOS,COES
CEOT,COET
CEOU,COEU
ACFO,COFA
CEFO,COFE
CFIO,COFI
CFOO,COFO
CFOS,COFS
ACIO,COIA
CIOX,COIX
CGLO,COLG
CILO,COLI
CLLO,COLL
CLOO,COLO
CLOZ,COLZ
ACMO,COMA
CMOO,COMO
CMOS,COMS
CMOU,COMU
CCNO,CONC
CNOR,CONR
CNOS,CONS
CNOT,CONT
CNOX,CONX
CNOY,CONY
CEOP,COPE
CIOP,COPI
COOP,COPO
COPS,COPS
CCOR,CORC
CDOR,CORD
CIOR,CORI
CMOR,CORM
CORR,CORR
CORS,CORS
CORT,CORT
COOS,COSO
COST,COST
COOT,COTO
COTX,COTX
CORU,COUR
COSU,COUS
CEOV,COVE
CIOV,COVI
COOV,COVO
ACOX,COXA
CEER,CREE
CEMR,CREM
CEPR,CREP
CERU,CREU
CDIR,CRID
CIMR,CRIM
CINR,CRIN
CIRT,CRIT
ACRU,CRUA
CIRU,CRUI
CPRU,CRUP
CRSU,CRUS
ACCU,CUCA
CCOU,CUCO
CCSU,CUCS
CDUU,CUDU
CESU,CUES
CCIU,CUIC
CDIU,CUID
CINU,CUIN
CITU,CUIT
CELU,CULE
CILU,CULI
CLLU,CULL
CLPU,CULP
CLSU,CULS
CEMU,CUME
CNUY,CUNY
COTU,CUOT
CEPU,CUPE
COPU,CUPO
CPSU,CUPS
CRTU,CURT
CISU,CUSI
AADD,DADA
AADG,DAGA
ADIL,DALI
ADLL,DALL
ADLT,DALT
ADMN,DAMN
ADNS,DANS
ADNT,DANT
ADNY,DANY
ADDR,DARD
ADER,DARE
AADT,DATA
ADET,DATE
ADOT,DATO
ADST,DATS
ADSU,DAUS
AADV,DAVA
BDEO,DEBO
ACDE,DECA
DEES,DEES
ADEG,DEGA
DEIM,DEIM
DEIS,DEIS
DEIX,DEIX
DEJU,DEJU
DEIL,DELI
DELM,DELM
DELS,DELS
ADEM,DEMA
ADEN,DENA
DENS,DENS
DENT,DENT
DEOS,DESO
DEET,DETE
DESU,DEUS
CDIS,DICS
CDIT,DICT
ADDI,DIDA
DDIO,DIDO
DEIN,DIEN
DEIU,DIEU
ADGI,DIGA
DGIN,DIGN
DDIN,DIND
DIIN,DINI
DINO,DINO
DINS,DINS
DINY,DINY
DILO,DIOL
DEIR,DIRE
DIRS,DIRS
DIST,DIST
DISU,DIUS
DIIV,DIVI
DIOV,DIVO
DIIX,DIXI
BDLO,DOBL
CDOS,DOCS
DDOO,DODO
DFIO,DOFI
ADGO,DOGA
DIOS,DOIS
DJOO,DOJO
ADLO,DOLA
CDLO,DOLC
DELO,DOLE
DLLO,DOLL
DLOO,DOLO
DLOS,DOLS
ADMO,DOMA
DEMO,DOME
DIMO,DOMI
DMOO,DOMO
DMOS,DOMS
DMOT,DOMT
DENO,DONE
DNOO,DONO
DNOS,DONS
ADOP,DOPA
DEOP,DOPE
DIOP,DOPI
DOOP,DOPO
DIOR,DORI
DMOR,DORM
DORS,DORS
DOOS,DOSO
DEOT,DOTE
DIOT,DOTI
DOOT,DOTO
DOST,DOTS
ADGR,DRAG
ADPR,DRAP
CDER,DREC
DENR,DREN
DERT,DRET
DILR,DRIL
DGOR,DROG
DRSU,DRUS
DRTU,DRUT
BDTU,DUBT
CDSU,DUCS
DELU,DUEL
DEMU,DUEM
DENU,DUEN
DETU,DUET
DEUU,DUEU
ADGU,DUGA
DEGU,DUGE
DGIU,DUGI
DIMU,DUIM
DITU,DUIT
DJOU,DUJO
DLLU,DULL
ADMU,DUMA
DOSU,DUOS
DERU,DURE
DIRU,DURI
DORU,DURO
ADTU,DUTA
DSTU,DUTS
DTUX,DUTX
DSUU,DUUS
DSUX,DUXS
BEEN,EBEN
DEEN,EDEN
DEIT,EDIT
CDEU,EDUC
EEFS,EFES
DEFO,EFOD
EFOR,EFOR
AEEG,EGEA
EEGU,EGEU
EGOS,EGOS
EGIU,EGUI
EEHM,EHEM
AEIX,EIXA
EEIX,EIXE
EIIX,EIXI
EELS,ELES
EELT,ELET
EELV,ELEV
EFLS,ELFS
EILS,ELIS
EILT,ELIT
ELLS,ELLS
ELMS,ELMS
EILO,ELOI
EILU,ELUI
ELLU,ELUL
AELX,ELXA
BELM,EMBL
BEMO,EMBO
EEMS,EMES
EEMT,EMET
EIMR,EMIR
EMPR,EMPR
ELMU,EMUL
EMSU,EMUS
EENS,ENES
EFNU,ENFU
ELNO,ENOL
ENRT,ENTR
EENZ,ENZE
CEEO,EOCE
ENOS,EONS
CEIP,EPIC
EIQU,EQUI
EEMR,EREM
EENR,EREN
EERR,ERER
EERS,ERES
EERT,ERET
EERU,EREU
EGOR,ERGO
EGRS,ERGS
EMOR,ERMO
EMRS,ERMS
ELOR,EROL
AERR,ERRA
EIRR,ERRI
EORR,ERRO
ERST,ERTS
EIMS,ESMI
EMOS,ESMO
EIPS,ESPI
EEST,ESTE
EIMT,ETIM
EORU,EURO
EITV,EVIT
ELOV,EVOL
EITX,EXIT
AACF,FACA
ACFI,FACI
AADF,FADA
ADEF,FADE
ADFI,FADI
ADFO,FADO
AFIO,FAIO
AFIS,FAIS
AAFJ,FAJA
ABFL,FALB
AFLL,FALL
AFLS,FALS
AFLT,FALT
AFMS,FAMS
AFGN,FANG
AFNS,FANS
AAFR,FARA
AFGR,FARG
AFRS,FARS
AFRT,FART
AEFS,FASE
AFST,FAST
AFOT,FATO
AFTU,FATU
AAFV,FAVA
AFOV,FAVO
AEFI,FEIA
EFIM,FEIM
EFIS,FEIS
EFIX,FEIX
EFIL,FELI
AEFM,FEMA
EEFM,FEME
EFMO,FEMO
EFMS,FEMS
EFMT,FEMT
CEFN,FENC
EFNS,FENS
EFNT,FENT
EFNY,FENY
EFIR,FERI
EFMR,FERM
EFRR,FERR
EFRS,FERS
AEFT,FETA
EFST,FETS
EFSU,FEUS
AFIM,FIAM
AFIR,FIAR
AFIT,FIAT
BFIL,FIBL
CFIS,FICS
EFIN,FIEN
EFIU,FIEU
FIIN,FIIN
FIIS,FIIS
FIIL,FILI
FILL,FILL
FILM,FILM
FILO,FILO
FILS,FILS
CFIN,FINC
FINO,FINO
FINS,FINS
FINT,FINT
FIIR,FIRI
FIMR,FIRM
FIOR,FIRO
EFIT,FITE
FIIT,FITI
FIOT,FITO
FIST,FITS
FITX,FITX
FIIX,FIXI
FIOX,FIXO
AFLM,FLAM
AFLO,FLAO
AFLP,FLAP
FILT,FLIT
FILX,FLIX
CFLO,FLOC
FLOR,FLOR
FLOT,FLOT
FLOU,FLOU
FLOX,FLOX
FILU,FLUI
FLMU,FLUM
FLUX,FLUX
AFFO,FOFA
FFOO,FOFO
FGOO,FOGO
FHNO,FOHN
EFIO,FOIE
FGLO,FOLG
FLLO,FOLL
CFNO,FONC
EFNO,FONE
FGNO,FONG
FNOO,FONO
FNOS,FONS
FNOT,FONT
FNOY,FONY
CFOR,FORC
FJOR,FORJ
FMOR,FORM
FNOR,FORN
FORS,FORS
FORT,FORT
AFOS,FOSA
EFOT,FOTE
FJOT,FOTJ
FOOT,FOTO
FOST,FOTS
FOSU,FOUS
ACFR,FRAC
AFRU,FRAU
CEFR,FREC
DEFR,FRED
EFGR,FREG
EFNR,FREN
EFRU,FREU
FGIR,FRIG
FIRS,FRIS
FIRT,FRIT
FIRU,FRUI
EFLU,FUEL
EFTU,FUET
AFGU,FUGA
FGIU,FUGI
FITU,FUIT
AFJU,FUJA
FJOU,FUJO
AFLU,FULA
FLLU,FULL
FLSU,FULS
AFMU,FUMA
EFMU,FUME
FIMU,FUMI
FMOU,FUMO
FMSU,FUMS
DFNU,FUND
FNUY,FUNY
FGRU,FURG
FORU,FURO
FRSU,FURS
FRTU,FURT
FSTU,FUST
AGGS,GAGS
AAGI,GAIA
AGGI,GAIG
AGIS,GAIS
AGGL,GALG
AGLL,GALL
AGLO,GALO
AGLS,GALS
AGLZ,GALZ
ABGM,GAMB
AEGM,GAME
AGMO,GAMO
AGMS,GAMS
AAGN,GANA
AGLR,GARL
AGRS,GARS
AGRT,GART
AEGS,GASE
AGOS,GASO
AGPS,GASP
AGST,GAST
AAGT,GATA
AGOT,GATO
ABGU,GAUB
AGOV,GAVO
CEGS,GECS
EEGL,GELE
EGIL,GELI
EGLO,GELO
EGLS,GELS
EGIM,GEMI
EGIN,GENI
EGNS,GENS
EGNT,GENT
EGPS,GEPS
DEGR,GERD
EGST,GEST
ACGI,GICA
CGIO,GICO
GINS,GINS
GINY,GINY
GIOP,GIPO
EGIR,GIRE
GIIR,GIRI
GIOR,GIRO
GIRS,GIRS
CGIS,GISC
EGIT,GITE
GIIT,GITI
GIOT,GITO
GIST,GITS
ACGL,GLAC
GLMO,GLOM
GLOP,GLOP
GLOS,GLOS
GLOT,GLOT
GLOU,GLUO
GMNO,GNOM
DGIO,GODI
FGOR,GOFR
EGGO,GOGE
GGIO,GOGI
AGJO,GOJA
GJOO,GOJO
GLLO,GOLL
GGNO,GONG
GGOR,GORG
GIOS,GOSI
GOOS,GOSO
GOST,GOTS
AGMR,GRAM
AGNR,GRAN
AGPR,GRAP
AGRU,GRAU
AGRV,GRAV
CEGR,GREC
EGRU,GREU
GIPR,GRIP
GIRU,GRIU
CGOR,GROC
GOPR,GROP
GORS,GROS
GMRU,GRUM
GORU,GRUO
GPRU,GRUP
GRUU,GRUU
EGSU,GUES
GIIU,GUII
GIOU,GUIO
GIPU,GUIP
GISU,GUIS
GITU,GUIT
GIUX,GUIX
GRSU,GURS
GSTU,GUST
AACH,HACA
ACHS,HACS
AAGH,HAGA
AEGH,HAGE
AGHI,HAGI
AAHJ,HAJA
AHJO,HAJO
AAHL,HALA
AEHL,HALE
AHIL,HALI
AHLO,HALO
AHMS,HAMS
AHSU,HAUS
AAHV,HAVA
EHIL,HELI
EEHL,HELE
EHMS,HEMS
EHST,HETS
EHSU,HEUS
AEHX,HEXA
AHIT,HIAT
AFHI,HIFA
EHMO,HOME
HNOR,HONR
AHOP,HOPA
AHOR,HORA
HORT,HORT
HOST,HOST
HITU,HUIT
EHLU,HULE
AHMU,HUMA
AHNU,HUNA
HNSU,HUNS
HIRU,HURI
HTUU,HUTU
AAII,IAIA
AIIO,IAIO
AIIS,IAIS
DEEI,IDEE
DEII,IDEI
DEIO,IDEO
EINS,IENS
GILU,IGLU
GIIN,IGNI
IILS,ILIS
ILSU,ILUS
AIMM,IMAM
IIMT,IMIT
FILN,INFL
IINR,INRI
INST,INST
AINX,INXA
DIIO,IODI
DIOO,IODO
ILOS,IOLS
IINO,IONI
INOS,IONS
IOST,IOTS
IOPS,IPSO
EIRS,IRES
EIRU,IREU
IIRS,IRIS
IORS,IROS
EIRT,ITER
IIRT,ITRI
EISV,IVES
EINX,IXEN
EISX,IXES
IINX,IXIN
IISX,IXIS
ACJT,JACT
ADEJ,JADE
AEJM,JAEM
AAGJ,JAGA
AAIJ,JAIA
AIJO,JAIO
AIJS,JAIS
AJLO,JALO
AJNS,JANS
AJSU,JAUS
AJZZ,JAZZ
EEJP,JEEP
AEIJ,JEIA
EIJM,JEIM
EIJS,JEIS
EJJU,JEJU
EJST,JETS
EJSU,JEUS
CJOS,JOCS
CJNO,JONC
IJNO,JONI
JNOR,JORN
AJOT,JOTA
JOSU,JOUS
EJOV,JOVE
EJUU,JUEU
AGJU,JUGA
GJOU,JUGO
AIJU,JUIA
IJSU,JUIS
IJLU,JULI
JLLU,JULL
CJNU,JUNC
JNTU,JUNT
JNUY,JUNY
JPSU,JUPS
AJRU,JURA
CJRU,JURC
EJRU,JURE
IJRU,JURI
JORU,JURO
JSTU,JUST
EJTU,JUTE
JJTU,JUTJ
ACLT,LACT
ALOP,LAPO
ALRS,LARS
AALX,LAXA
AILX,LAXI
ALOX,LAXO
ELNT,LENT
ELOT,LETO
ELSU,LEUS
BIIL,LIBI
BILO,LIBO
DIIL,LIDI
ILNX,LINX
ILOR,LIRO
IILT,LITI
ALLR,LLAR
ALLU,LLAU
ALLV,LLAV
EGLL,LLEG
EILL,LLEI
ELLO,LLEO
ELLP,LLEP
ELLT,LLET
ELLV,LLEV
CILL,LLIC
GILL,LLIG
ILLM,LLIM
ILLR,LLIR
ILLS,LLIS
ILLT,LLIT
ILLO,LLOI
LLMO,LLOM
LLOO,LLOO
LLOP,LLOP
LLOR,LLOR
LLOS,LLOS
LLOT,LLOT
LLOU,LLOU
ILLU,LLUI
LLMU,LLUM
LLRU,LLUR
LLSU,LLUS
LLUU,LLUU
ALNO,LONA
ALOR,LORA
DLOR,LORD
LOSS,LOSS
LOST,LOTS
CLRU,LUCR
EGLU,LUGE
ALPU,LUPA
ILTU,LUTI
ALUX,LUXA
ELUX,LUXE
ILUX,LUXI
LOUX,LUXO
LSUX,LUXS
ACMS,MACS
AAIM,MAIA
ADLM,MALD
ALLM,MALL
ALMM,MALM
ALMS,MALS
ALMT,MALT
AMMS,MAMS
ACMN,MANC
AMNO,MANO
AMNS,MANS
AMNT,MANT
AMNX,MANX
AEMP,MAPE
AIMP,MAPI
ACMR,MARC
AMRR,MARR
AMRS,MARS
AMRT,MART
AMRX,MARX
AEMT,MATE
AMST,MATS
AMTX,MATX
CEMS,MECS
DEEM,MEDE
EIMX,MEIX
EELM,MELE
ELMO,MELO
EMMS,MEMS
EEMN,MENE
EIMN,MENI
EJMN,MENJ
EMNO,MENO
EMNT,MENT
EMNU,MENU
EJMT,METJ
EMOT,METO
EMST,METS
AEMV,MEVA
DIIM,MIDI
GIMR,MIGR
GIMS,MIGS
EILM,MILE
IILM,MILI
ILMS,MILS
EIMM,MIME
IIMM,MIMI
IMMO,MIMO
IMMS,MIMS
IIMN,MINI
IMNO,MINO
IMNV,MINV
ILMO,MIOL
IMOP,MIOP
IIMR,MIRI
IMOR,MIRO
IMRR,MIRR
AIMX,MIXA
IMTX,MIXT
BLMO,MOBL
AFMO,MOFA
FIMO,MOFI
FMOO,MOFO
IMOX,MOIX
CLMO,MOLC
LMOO,MOLO
LMOS,MOLS
LMOT,MOLT
MMOS,MOMS
MNOO,MONO
MNOS,MONS
MNOT,MONT
MOOR,MORO
MORS,MORS
MORT,MORT
MORU,MORU
MOST,MOST
IMOT,MOTI
MOOT,MOTO
MOTU,MOTU
MOSU,MOUS
DMOU,MUDO
GIMU,MUGI
IMRU,MUIR
LMSU,MULS
LMTU,MULT
IMNU,MUNI
MNTU,MUNT
MNUY,MUNY
EMRU,MURE
MRSU,MURS
AMSU,MUSA
CMSU,MUSC
IMSU,MUSI
MSTU,MUTS
MTUU,MUTU
AADN,NADA
AFNR,NAFR
AINP,NAIP
AANN,NANA
ANNS,NANS
ANPS,NAPS
ADNR,NARD
ANRR,NARR
AJNT,NATJ
AINZ,NAZI
AEGN,NEGA
EGNO,NEGO
AENN,NENA
ENNS,NENS
ENOR,NERO
ENST,NETS
ELNU,NEUL
ENSU,NEUS
EENV,NEVE
EINV,NEVI
ENOV,NEVO
EENX,NEXE
AGIN,NGAI
EINN,NIEN
EINR,NIER
EINU,NIEU
IINN,NIIN
IINS,NIIS
ILNO,NILO
BIMN,NIMB
AINN,NINA
INNO,NINO
INNS,NINS
INOP,NIPO
INRT,NITR
INSU,NIUS
IINV,NIVI
CNOO,NOCO
ENOU,NOEU
AGNO,NOGA
ANNO,NONA
DNOR,NORD
INOR,NORI
ENOT,NOTE
INOT,NOTI
NOOT,NOTO
NOSU,NOUS
ANOV,NOVA
AMNU,NUAM
ANTU,NUAT
ANUU,NUAU
ACNU,NUCA
CNSU,NUCS
ENNU,NUEN
ENTU,NUET
ENUU,NUEU
AGNU,NUGA
GNOU,NUGO
INNU,NUIN
LNSU,NULS
NNSU,NUNS
NSUU,NUUS
INUV,NUVI
ACNY,NYAC
AMNY,NYAM
ANPY,NYAP
CENY,NYEC
CINY,NYIC
NSUY,NYUS
AIOS,OASI
BEOO,OBOE
BEOV,OBVE
CCIO,OCCI
ACEO,OCEA
DOOR,ODOR
DEOR,ODRE
EIOX,OEIX
EOST,OEST
EFGO,OFEG
EFOS,OFES
HMOS,OHMS
AIMO,OIAM
AIOU,OIAU
EIMO,OIEM
EINO,OIEN
EIOS,OIES
EIOU,OIEU
IIOO,OIOI
IOOS,OIOS
EIOR,OIRE
IOOX,OIXO
ELOU,OLEU
IILO,OLII
ILOO,OLIO
ILOU,OLIU
ILOV,OLIV
LOOR,OLOR
BMOU,OMBU
IMOS,OMIS
INOX,ONIX
NOOS,ONSO
ENOZ,ONZE
EOPR,OPER
ILOP,OPIL
OOPS,OPOS
AOPT,OPTA
EOPT,OPTE
IOPT,OPTI
OOPT,OPTO
OPSU,OPUS
AORR,ORAR
AORS,ORAS
EORS,ORES
IORX,ORIX
NOOR,ORNO
OORS,OROS
IORR,ORRI
OORT,ORTO
COSS,OSCS
EOSS,OSES
IOSS,OSSI
OOSS,OSSO
AOST,OSTA
AOTV,OVAT
INOV,OVNI
LOUV,OVUL
DIOX,OXID
AFPS,PAFS
AGOP,PAGO
AAIP,PAIA
AIOP,PAIO
AIPU,PAIU
AIPX,PAIX
AALP,PALA
ALLP,PALL
ALMP,PALM
ALPP,PALP
ALPS,PALS
AMPS,PAMS
AAPP,PAPA
AEPP,PAPE
AIPP,PAPI
AOPP,PAPO
APPS,PAPS
APPU,PAPU
ALPR,PARL
APRT,PART
APST,PAST
APSU,PAUS
AOPV,PAVO
DEIP,PEDI
EGOP,PEGO
AEIP,PEIA
EIPX,PEIX
EELP,PELE
EFLP,PELF
EILP,PELI
ELOP,PELO
ELPS,PELS
AENP,PENA
CENP,PENC
EENP,PENE
EINP,PENI
EJNP,PENJ
